Experiment,LTM_Ports,Remote_Rounds,Peak_C0_Demand,Teleportation_Time_us,Execution_Time_us
A,1,1,1,1.43001,1.75576
A,2,1,1,1.43001,1.75576
A,3,1,1,1.43001,1.75576
A,4,1,1,1.43001,1.75576
B,1,2,1,2.86002,3.25089
B,2,1,2,1.43001,1.78089
B,3,1,2,1.43001,1.78089
B,4,1,2,1.43001,1.78089
C,1,3,1,4.30003,4.89634
C,2,2,2,2.87002,3.42633
C,3,1,3,1.44001,1.95632
C,4,1,3,1.44001,1.95632
D,1,4,1,5.73004,6.51179
D,2,2,2,2.87002,3.57177
D,3,2,3,2.87002,3.57177
D,4,1,4,1.45001,2.11176
D,5,1,4,1.45001,2.11176
D,6,1,4,1.45001,2.11176
F,1,2,1,2.87002,3.59177
F,2,1,2,1.46001,2.14176
F,3,1,2,1.46001,2.14176
F,4,1,2,1.46001,2.14176
F,5,1,2,1.46001,2.14176
